"OPTZ_PLN_ID","SHOP_CODE","BAY_CODE","WORK_DATE","WORK_CLSF","CARY_IN_QTY","CARY_OUT_QTY"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250922","N","0.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251001","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251020","B","5.0","1.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251020","A","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250922","B","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250926","B","1.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251103","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251103","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251016","N","1.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250923","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250927","N","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251016","B","5.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250919","B","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251016","A","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251103","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250930","N","0.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250930","B","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250915","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251029","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251006","N","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251002","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251021","N","0.0","8.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251029","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250918","N","0.0","4.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251029","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251006","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251006","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250929","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251002","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251002","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251021","B","1.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251021","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250925","B","1.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251017","N","0.0","6.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251013","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250926","N","2.0","6.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251017","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251017","A","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250918","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251013","B","3.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251013","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251007","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251003","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251022","N","0.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250917","N","0.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251007","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251007","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251003","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250920","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251003","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251022","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251022","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250920","B","1.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250924","B","3.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251014","N","1.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250925","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251010","N","0.0","7.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250929","N","2.0","1.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250917","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251014","B","3.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251014","A","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251010","B","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251010","A","0.0","0.0"
