"OPTZ_PLN_ID","JIG_CODE","OPTZ_JIG_CODE","OPTZ_JIG_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_04","J41A","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09A","J10AJ10DJ09AJ09BJ09CJ09D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07A","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01B","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03A","J01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06A","J06AJ06DJ05AJ05BJ05CJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02D","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05C","J05C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05D","J05AJ05BJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07D","J07AJ07BJ07CJ07DJ09AJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J41B","J41AJ41BJ41CJ41DJ42BJ42C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J42A","J42A","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05B","J05AJ05BJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06B","J06AJ06BJ06CJ06DJ08AJ08BJ08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05B","J05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03D","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","1"
