"OPTZ_PLN_ID","WORK_DATE","WORK_CLSF","OPTZ_JIG_CODE","JIG_CODE","PROJ_NO","BLK_NO","WSTG_CODE","WORK_STUS_CODE"
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J08C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J08B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251020","B","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J08D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251020","B","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251020","B","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J08A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251020","B","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","A","J02CJ02DJ04AJ04BJ04CJ04D","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","N","J04B","J04B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","N","J07AJ07BJ07CJ07DJ09AJ09B","J07A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","N","J07AJ07BJ07CJ07DJ09AJ09B","J07B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","N","J07AJ07BJ07CJ07DJ09AJ09B","J07C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251031","B","J10B","J10B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","N","J07AJ07BJ07CJ07DJ09AJ09B","J07D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J08D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J08B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J08C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J07B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251003","N","J03C","J03C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J07A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J07D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J07C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250929","B","J42A","J42A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J08A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","B","J10AJ10BJ10CJ10DJ09BJ09C","J09C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","B","J10AJ10BJ10CJ10DJ09BJ09C","J09B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","B","J03C","J03C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","A","J07AJ07BJ07CJ07DJ09AJ09B","J09B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","A","J07AJ07BJ07CJ07DJ09AJ09B","J09A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","N","J10A","J10A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251014","B","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","J01D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251014","B","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","J01C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251014","B","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","J01B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251014","B","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","J01A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251002","B","J06AJ06BJ06CJ06DJ08AJ08B","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","A","J06C","J06C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J06AJ06BJ06CJ06DJ08AJ08B","J08B","","","",""
