"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC","ROTATION_STATUS","MIN_SIZE_GAP","FINAL_STATUS"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","30.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J41CJ41DJ06AJ06BJ06CJ06D","1","1","19.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J04D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","193","G9G9","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ03BJ03C","1","1","32.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J04C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J04B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J04A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J05A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J05AJ05BJ05CJ05DJ07AJ07B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G9G9","J02DJ04AJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1","1","14.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","1","1","18.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J05D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J05C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J05B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1","1","15.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J06B","1","0","99999.9","0"
