"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","G9G9","J05AJ05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","R1G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","G9G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","193","R1G9","J10BJ10C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J07AJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","193","R1G9","J07AJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","193","R1G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J10BJ10C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","R1G9","J03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J11AJ11B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J11AJ11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","R1G9","J03AJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J01AJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J01AJ01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J01A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","854","R1G9","J01AJ01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","854","R1G9","J01AJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J11BJ11C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J10AJ10D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","227","H8G9","J10DJ11AJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J02BJ02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","J09AJ09BJ09CJ09D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J01A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","H6G9","J10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J10CJ11BJ11C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J11AJ11BJ11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J10DJ11AJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J01D","1"
